time_sec,value
1,25.146153846153847
2,18.80598267588933
3,16.804232719512196
4,16.724565578544063
5,15.51937984496124
6,15.818867924528302
7,16.456301007434945
8,15.575880481060604
9,17.13235294117647
10,16.253846153846155
11,16.328125
12,16.384615384615383
13,16.438931297709924
14,16.358355647509576
15,16.346153846153847
16,16.06967213114754
17,16.4078431372549
18,16.822725003846152
19,17.08235294117647
20,17.12156862745098
21,17.610894941634243
22,17.895132527131782
23,16.429627083003954
24,16.49800796812749
25,17.868312757201647
26,17.967093769230768
27,16.576470588235296
28,17.48828125
29,16.27843137254902
30,17.423529411764704
31,16.85925925925926
32,16.794007490636705
33,16.703846153846154
34,17.262096774193548
35,16.739299610894943
36,16.745247148288975
37,16.655038759689923
38,18.30038022813688
39,16.901515151515152
40,16.23954372623574
41,16.984848484848484
42,18.53053435114504
43,18.12167300380228
44,17.784615384615385
45,17.396946564885496
46,17.30223880597015
47,18.28957528957529
48,18.47334104814815
49,19.133333333333333
50,18.293478260869566
51,17.95131086142322
52,17.61216730038023
53,18.550185873605948
54,18.04494382022472
55,18.79467680608365
56,19.320338942307693
57,20.5
58,20.173387096774192
59,20.098039215686278
60,19.14391143911439
61,18.77007299270073
62,17.689902184501843
63,18.09963099630996
64,18.53558052434457
65,18.266409266409266
66,18.788084661538463
67,18.66538461538461
68,18.04705882352941
69,17.534788406844108
70,19.414728682170544
71,18.928467269961978
72,18.96887159533074
73,18.88147602671756
74,17.969811320754715
75,19.052044609665423
76,18.4638783269962
77,17.756460076628354
78,18.08988764044944
79,18.073643410852718
80,17.657970091254754
81,17.954887218045112
82,17.20609549429658
83,17.886718748031495
84,18.97867132692308
85,19.25
86,18.0
87,17.497942386831276
88,19.727272727272727
89,18.56923076923077
90,19.186046511627907
91,19.863813229571985
92,19.11070110701107
93,18.44776119402985
94,17.679841897233203
95,18.25287356321839
96,18.55805243445693
97,18.03977873046875
98,17.69811320754717
99,18.015503875968992
100,18.18359375
101,18.04706551526717
102,18.24907063197026
103,18.0
104,17.96564885496183
105,18.262070828244276
106,18.27691651724138
107,17.925620816793895
108,17.752851711026615
109,17.88140838314176
110,17.561264822134387
111,18.39418963878327
112,19.470483441947565
113,20.6203007518797
114,19.76045627376426
115,19.04032258064516
116,19.53937007874016
117,18.76355816862745
118,17.958852218253966
119,18.54901960784314
120,18.853168434108525
121,17.59622641509434
122,17.167300380228138
123,16.785059386363635
124,16.653846153846153
125,17.946360153256705
126,17.673151750972764
127,17.515151515151516
128,17.456195741444866
129,18.435606060606062
130,16.752895752895753
131,16.71058219391635
132,16.256193807692306
133,17.049429657794676
134,16.78490566037736
135,16.8796992481203
136,17.11070110701107
137,16.82962962962963
138,16.438727735849056
139,15.324478553030303
140,15.580517430188678
141,16.166409517374518
142,16.31826430038023
143,15.954887218045112
144,15.230206353612168
145,15.822393822393822
146,16.25993777946768
147,16.445504801526717
148,16.884364545801525
149,16.866412213740457
150,17.050840166666664
151,16.12686567164179
152,16.249084249084248
153,15.494623655913978
154,15.642335766423358
155,17.326025442379184
156,16.881481481481483
157,16.352272727272727
158,17.236162361623617
159,16.43884892086331
160,16.87956204379562
161,17.483271375464685
162,17.28030303030303
163,16.62825278810409
164,16.752477151851853
